UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
128,L47307,L,298.9,308.6,1413.0,46.5,122,0,0,0,0,0,0
129,L47308,L,299.0,308.6,1587.0,38.6,124,0,0,0,0,0,0
130,L47309,L,298.9,308.5,1559.0,34.3,126,0,0,0,0,0,0
131,L47310,L,298.8,308.4,1473.0,41.1,128,0,0,0,0,0,0
132,L47311,L,298.8,308.4,1737.0,27.7,130,0,0,0,0,0,0
133,M14992,M,298.7,308.4,1441.0,43.2,132,0,0,0,0,0,0
134,M14993,M,298.7,308.4,1430.0,49.6,135,0,0,0,0,0,0
135,L47314,L,298.8,308.4,1369.0,53.0,138,0,0,0,0,0,0
136,M14995,M,298.8,308.5,1711.0,28.5,140,0,0,0,0,0,0
137,H29550,H,298.7,308.5,1420.0,45.7,143,0,0,0,0,0,0
138,L47317,L,298.7,308.6,1297.0,55.3,148,0,0,0,0,0,0
139,H29552,H,298.8,308.6,1449.0,49.4,150,0,0,0,0,0,0
140,L47319,L,298.8,308.6,1268.0,55.8,155,0,0,0,0,0,0
141,L47320,L,298.8,308.6,1511.0,36.1,157,0,0,0,0,0,0
142,L47321,L,298.7,308.5,1544.0,35.2,159,0,0,0,0,0,0
143,M15002,M,298.6,308.4,1778.0,28.2,161,0,0,0,0,0,0
144,H29557,H,298.6,308.4,1407.0,50.5,164,0,0,0,0,0,0
145,M15004,M,298.6,308.4,1391.0,42.4,169,0,0,0,0,0,0
146,L47325,L,298.5,308.4,1513.0,33.6,172,0,0,0,0,0,0
147,H29560,H,298.5,308.4,1612.0,36.1,174,0,0,0,0,0,0
148,L47327,L,298.4,308.4,1515.0,40.1,179,0,0,0,0,0,0
149,M15008,M,298.3,308.3,1379.0,48.0,181,0,0,0,0,0,0
150,L47329,L,298.4,308.3,1473.0,39.9,184,0,0,0,0,0,0
151,L47330,L,298.4,308.3,1422.0,42.7,186,0,0,0,0,0,0
152,M15011,M,298.4,308.2,1463.0,37.6,188,0,0,0,0,0,0
153,M15012,M,298.4,308.2,1584.0,41.0,191,0,0,0,0,0,0
154,L47333,L,298.4,308.2,1850.0,27.0,194,0,0,0,0,0,0
155,L47334,L,298.4,308.2,1528.0,36.2,196,0,0,0,0,0,0
156,H29569,H,298.4,308.2,1987.0,19.8,198,0,0,0,0,0,0
157,M15016,M,298.4,308.1,1495.0,46.0,203,0,0,0,0,0,0
158,H29571,H,298.4,308.2,1478.0,43.5,206,0,0,0,0,0,0
159,M15018,M,298.4,308.2,1499.0,40.0,211,0,0,0,0,0,0
160,L47339,L,298.4,308.2,1471.0,47.0,214,0,0,0,0,0,0
161,L47340,L,298.4,308.2,1282.0,60.7,216,1,0,0,0,1,0
162,L47341,L,298.3,308.1,1412.0,52.3,218,1,0,0,0,1,0
163,L47342,L,298.3,308.1,1586.0,35.5,0,0,0,0,0,0,0
164,M15023,M,298.4,308.2,1468.0,43.8,2,0,0,0,0,0,0
165,M15024,M,298.5,308.3,1440.0,43.6,5,0,0,0,0,0,0
166,L47345,L,298.5,308.4,1733.0,26.0,8,0,0,0,0,0,0
167,H29580,H,298.4,308.2,1612.0,32.6,10,0,0,0,0,0,0
168,H29581,H,298.4,308.3,1458.0,42.9,15,0,0,0,0,0,0
169,L47348,L,298.4,308.3,1433.0,62.3,20,1,0,0,1,0,0
170,L47349,L,298.4,308.3,1318.0,59.1,22,0,0,0,0,0,0
171,M15030,M,298.4,308.2,1610.0,35.0,24,0,0,0,0,0,0
172,L47351,L,298.2,308.1,1462.0,50.8,27,0,0,0,0,0,0
173,M15032,M,298.1,308.0,1924.0,20.8,29,0,0,0,0,0,0
174,M15033,M,298.2,308.0,1591.0,33.7,32,0,0,0,0,0,0
175,L47354,L,298.2,308.1,1306.0,58.3,35,0,0,0,0,0,0
176,L47355,L,298.2,308.1,1382.0,43.5,37,0,0,0,0,0,0
177,L47356,L,298.2,308.1,1618.0,34.7,39,0,0,0,0,0,0
178,L47357,L,298.2,308.2,1988.0,21.4,41,0,0,0,0,0,0
179,L47358,L,298.2,308.2,1436.0,50.2,43,0,0,0,0,0,0
180,L47359,L,298.2,308.3,1304.0,49.8,45,0,0,0,0,0,0
181,L47360,L,298.2,308.3,1475.0,49.9,47,0,0,0,0,0,0
182,H29595,H,298.2,308.3,1824.0,24.2,49,0,0,0,0,0,0
183,M15042,M,298.1,308.2,1342.0,48.1,54,0,0,0,0,0,0
184,L47363,L,298.1,308.2,1485.0,40.7,57,0,0,0,0,0,0
185,L47364,L,298.2,308.2,1667.0,30.6,59,0,0,0,0,0,0
186,L47365,L,298.2,308.2,1446.0,38.2,61,0,0,0,0,0,0
187,L47366,L,298.1,308.3,1301.0,56.0,63,0,0,0,0,0,0
188,L47367,L,298.2,308.4,1379.0,43.1,65,0,0,0,0,0,0
189,L47368,L,298.3,308.5,1606.0,33.6,67,0,0,0,0,0,0
190,M15049,M,298.3,308.4,1539.0,43.4,69,0,0,0,0,0,0
191,L47370,L,298.2,308.4,1477.0,49.9,72,0,0,0,0,0,0
192,L47371,L,298.2,308.4,1666.0,34.6,74,0,0,0,0,0,0
193,H29606,H,298.2,308.4,1398.0,51.8,76,0,0,0,0,0,0
194,H29607,H,298.2,308.4,1678.0,34.6,81,0,0,0,0,0,0
195,M15054,M,298.2,308.5,2678.0,10.7,86,1,0,0,1,0,0
196,L47375,L,298.3,308.5,1453.0,42.9,89,0,0,0,0,0,0
197,H29610,H,298.3,308.6,1432.0,49.5,91,0,0,0,0,0,0
198,M15057,M,298.4,308.6,1527.0,40.9,96,0,0,0,0,0,0
199,L47378,L,298.4,308.7,1588.0,35.0,99,0,0,0,0,0,0
200,L47379,L,298.4,308.6,1433.0,47.1,101,0,0,0,0,0,0
201,L47380,L,298.4,308.6,1609.0,35.0,103,0,0,0,0,0,0
202,L47381,L,298.3,308.5,1575.0,41.2,105,0,0,0,0,0,0
203,M15062,M,298.4,308.5,1636.0,35.7,107,0,0,0,0,0,0
204,L47383,L,298.4,308.5,1490.0,37.9,110,0,0,0,0,0,0
205,L47384,L,298.4,308.5,1741.0,32.8,112,0,0,0,0,0,0
206,M15065,M,298.5,308.6,1344.0,53.0,114,0,0,0,0,0,0
207,L47386,L,298.5,308.7,1609.0,35.3,117,0,0,0,0,0,0
208,M15067,M,298.4,308.7,1421.0,60.7,119,1,0,0,1,0,0
209,L47388,L,298.4,308.6,1591.0,36.7,122,0,0,0,0,0,0
210,L47389,L,298.4,308.6,1477.0,44.0,124,0,0,0,0,0,0
211,L47390,L,298.4,308.7,1523.0,36.1,126,0,0,0,0,0,0
212,L47391,L,298.5,308.7,1575.0,33.9,128,0,0,0,0,0,0
213,H29626,H,298.4,308.7,1344.0,52.9,130,0,0,0,0,0,0
214,L47393,L,298.4,308.7,1386.0,44.9,135,0,0,0,0,0,0
215,M15074,M,298.3,308.6,1589.0,37.1,137,0,0,0,0,0,0
216,L47395,L,298.3,308.6,1548.0,40.3,140,0,0,0,0,0,0
217,L47396,L,298.3,308.6,1499.0,38.3,142,0,0,0,0,0,0
218,L47397,L,298.3,308.5,1664.0,31.6,144,0,0,0,0,0,0
219,L47398,L,298.3,308.6,1447.0,38.1,146,0,0,0,0,0,0
220,M15079,M,298.3,308.5,1434.0,46.2,148,0,0,0,0,0,0
221,L47400,L,298.3,308.5,1416.0,52.7,151,0,0,0,0,0,0
222,H29635,H,298.4,308.5,1827.0,24.3,153,0,0,0,0,0,0
223,L47402,L,298.4,308.6,1304.0,45.0,158,0,0,0,0,0,0
224,L47403,L,298.4,308.6,1569.0,34.4,160,0,0,0,0,0,0
225,L47404,L,298.3,308.6,1584.0,29.3,162,0,0,0,0,0,0
226,L47405,L,298.3,308.5,1362.0,53.8,164,0,0,0,0,0,0
227,L47406,L,298.3,308.4,1329.0,49.2,166,0,0,0,0,0,0
228,L47407,L,298.3,308.5,1539.0,36.1,168,0,0,0,0,0,0
229,M15088,M,298.3,308.5,1629.0,37.1,170,0,0,0,0,0,0
230,L47409,L,298.3,308.5,1538.0,32.2,173,0,0,0,0,0,0
231,L47410,L,298.3,308.6,1570.0,34.8,175,0,0,0,0,0,0
232,L47411,L,298.3,308.4,1408.0,43.1,177,0,0,0,0,0,0
233,L47412,L,298.2,308.4,1424.0,47.6,179,0,0,0,0,0,0
234,L47413,L,298.2,308.4,1512.0,34.9,181,0,0,0,0,0,0
235,L47414,L,298.2,308.4,1478.0,42.9,183,0,0,0,0,0,0
236,M15095,M,298.1,308.3,1680.0,33.7,185,0,0,0,0,0,0
237,L47416,L,298.1,308.3,1495.0,38.7,188,0,0,0,0,0,0
238,M15097,M,298.0,308.1,1552.0,36.6,190,0,0,0,0,0,0
239,L47418,L,297.9,308.1,1393.0,50.3,193,0,0,0,0,0,0
240,L47419,L,298.0,308.2,1611.0,30.6,195,0,0,0,0,0,0
241,M15100,M,298.0,308.1,1339.0,51.6,197,0,0,0,0,0,0
242,L47421,L,298.0,308.1,1777.0,24.3,200,0,0,0,0,0,0
243,L47422,L,298.0,308.2,1348.0,58.8,202,1,0,0,0,1,0
244,L47423,L,298.0,308.2,1442.0,44.1,204,0,0,0,0,0,0
245,M15104,M,298.0,308.2,1395.0,49.1,206,0,0,0,0,0,0
246,M15105,M,297.9,308.1,1627.0,31.4,209,0,0,0,0,0,0
247,L47426,L,297.9,308.1,1585.0,33.5,212,0,0,0,0,0,0
248,L47427,L,298.0,308.2,1469.0,45.5,214,0,0,0,0,0,0
249,L47428,L,298.0,308.3,1362.0,56.8,216,1,0,0,0,1,0
250,L47429,L,298.0,308.3,1405.0,56.2,218,1,0,0,0,1,0
251,L47430,L,298.0,308.3,1662.0,32.7,0,0,0,0,0,0,0
252,M15111,M,298.0,308.2,1466.0,42.6,2,0,0,0,0,0,0
253,L47432,L,298.0,308.2,1620.0,35.8,5,0,0,0,0,0,0
254,L47433,L,298.0,308.2,1357.0,48.2,7,0,0,0,0,0,0
255,L47434,L,298.0,308.2,1514.0,37.9,9,0,0,0,0,0,0
256,L47435,L,298.0,308.2,1489.0,40.4,11,0,0,0,0,0,0
257,L47436,L,298.1,308.3,1331.0,63.0,13,0,0,0,0,0,0
258,L47437,L,298.0,308.0,1615.0,29.5,15,0,0,0,0,0,0
259,L47438,L,298.1,308.2,1482.0,37.9,17,0,0,0,0,0,0
260,M15119,M,298.1,308.2,1420.0,63.9,19,1,0,0,1,0,0
261,M15120,M,298.2,308.3,1522.0,49.1,22,0,0,0,0,0,0
262,L47441,L,298.1,308.2,1654.0,32.1,25,0,0,0,0,0,0
263,M15122,M,298.1,308.2,1736.0,26.8,27,0,0,0,0,0,0
264,M15123,M,298.0,308.1,1587.0,32.3,30,0,0,0,0,0,0
265,L47444,L,298.1,308.2,1390.0,47.5,33,0,0,0,0,0,0
266,L47445,L,298.0,308.1,1454.0,37.1,35,0,0,0,0,0,0
267,H29680,H,298.0,308.1,1440.0,43.7,37,0,0,0,0,0,0
268,L47447,L,297.9,308.0,1954.0,21.1,42,0,0,0,0,0,0
269,H29682,H,297.9,308.0,1800.0,24.8,44,0,0,0,0,0,0
270,L47449,L,298.0,308.0,1524.0,37.0,49,0,0,0,0,0,0
271,H29684,H,298.0,308.0,1520.0,39.6,51,0,0,0,0,0,0
272,M15131,M,298.1,308.1,1452.0,40.8,56,0,0,0,0,0,0
273,L47452,L,298.1,308.1,1484.0,40.4,59,0,0,0,0,0,0
274,L47453,L,298.1,308.0,1426.0,46.0,61,0,0,0,0,0,0
275,L47454,L,298.1,308.0,1652.0,28.5,63,0,0,0,0,0,0
276,L47455,L,298.0,308.0,1401.0,54.7,65,0,0,0,0,0,0
277,M15136,M,298.0,307.9,1750.0,26.6,67,0,0,0,0,0,0
278,H29691,H,298.0,308.0,1479.0,50.7,70,0,0,0,0,0,0
279,M15138,M,298.0,308.0,1620.0,29.4,75,0,0,0,0,0,0
280,L47459,L,298.0,308.1,1819.0,23.4,78,0,0,0,0,0,0
281,M15140,M,298.1,308.1,1456.0,43.7,80,0,0,0,0,0,0
282,L47461,L,298.1,308.0,1626.0,36.5,83,0,0,0,0,0,0
283,M15142,M,298.1,308.1,1390.0,49.8,85,0,0,0,0,0,0
284,L47463,L,298.2,308.2,1469.0,43.0,88,0,0,0,0,0,0
285,L47464,L,298.2,308.3,2051.0,19.2,90,0,0,0,0,0,0
286,L47465,L,298.2,308.3,1568.0,36.0,92,0,0,0,0,0,0
287,L47466,L,298.2,308.3,1589.0,33.2,94,0,0,0,0,0,0
288,L47467,L,298.2,308.3,1805.0,31.6,96,0,0,0,0,0,0
289,H29702,H,298.2,308.4,1385.0,42.2,98,0,0,0,0,0,0
290,L47469,L,298.1,308.4,1436.0,46.7,103,0,0,0,0,0,0
291,L47470,L,298.1,308.4,1438.0,45.6,105,0,0,0,0,0,0
292,L47471,L,298.0,308.3,1473.0,42.6,107,0,0,0,0,0,0
293,L47472,L,298.1,308.4,1335.0,40.2,109,0,0,0,0,0,0
294,H29707,H,298.1,308.5,1392.0,44.8,111,0,0,0,0,0,0
295,M15154,M,298.1,308.5,1372.0,51.1,116,0,0,0,0,0,0
296,M15155,M,298.1,308.6,1716.0,30.7,119,0,0,0,0,0,0
297,L47476,L,298.0,308.5,1395.0,46.2,122,0,0,0,0,0,0
298,L47477,L,298.0,308.5,1713.0,25.3,124,0,0,0,0,0,0
299,H29712,H,297.9,308.5,2129.0,18.7,126,0,0,0,0,0,0
300,M15159,M,297.8,308.3,1567.0,35.6,131,0,0,0,0,0,0
301,L47480,L,297.8,308.4,1622.0,38.3,134,0,0,0,0,0,0
302,L47481,L,297.7,308.4,1740.0,27.1,136,0,0,0,0,0,0
303,H29716,H,297.8,308.4,1512.0,35.1,138,0,0,0,0,0,0
304,M15163,M,297.8,308.4,1479.0,43.5,143,0,0,0,0,0,0
305,L47484,L,297.8,308.4,1737.0,27.5,146,0,0,0,0,0,0
306,L47485,L,297.8,308.4,2129.0,19.2,148,0,0,0,0,0,0
307,L47486,L,297.8,308.4,1374.0,47.1,150,0,0,0,0,0,0
308,M15167,M,297.8,308.4,1579.0,36.6,152,0,0,0,0,0,0
309,L47488,L,297.9,308.5,1305.0,47.2,155,0,0,0,0,0,0
310,M15169,M,297.9,308.5,1449.0,40.8,157,0,0,0,0,0,0
311,H29724,H,298.0,308.6,1526.0,41.8,160,0,0,0,0,0,0
312,M15171,M,298.0,308.6,1453.0,44.1,165,0,0,0,0,0,0
313,L47492,L,297.9,308.6,1468.0,36.0,168,0,0,0,0,0,0
314,L47493,L,298.0,308.6,1313.0,50.8,170,0,0,0,0,0,0
315,M15174,M,297.9,308.5,1300.0,53.0,172,0,0,0,0,0,0
316,L47495,L,297.9,308.4,1646.0,40.6,175,0,0,0,0,0,0
317,L47496,L,297.8,308.4,1714.0,33.2,177,0,0,0,0,0,0
318,L47497,L,297.8,308.4,1685.0,28.4,179,0,0,0,0,0,0
319,L47498,L,297.8,308.4,1512.0,39.9,181,0,0,0,0,0,0
320,L47499,L,297.8,308.4,1612.0,32.1,183,0,0,0,0,0,0
321,H29734,H,297.8,308.4,1550.0,38.2,185,0,0,0,0,0,0
322,L47501,L,297.8,308.4,1518.0,32.5,190,0,0,0,0,0,0
323,L47502,L,297.8,308.5,1448.0,40.0,192,0,0,0,0,0,0
324,L47503,L,297.8,308.5,1561.0,46.3,194,0,0,0,0,0,0
325,M15184,M,297.8,308.5,1488.0,41.9,196,0,0,0,0,0,0
326,L47505,L,297.8,308.5,1699.0,27.8,199,0,0,0,0,0,0
327,L47506,L,297.7,308.5,1501.0,41.4,201,0,0,0,0,0,0
328,L47507,L,297.7,308.5,1373.0,56.7,203,1,0,0,0,1,0
329,H29742,H,297.6,308.4,1703.0,31.4,205,0,0,0,0,0,0
330,H29743,H,297.7,308.5,1720.0,29.9,210,0,0,0,0,0,0
331,M15190,M,297.6,308.4,1398.0,41.9,215,0,0,0,0,0,0
332,M15191,M,297.6,308.4,1391.0,51.9,218,0,0,0,0,0,0
333,M15192,M,297.6,308.3,1538.0,40.2,0,0,0,0,0,0,0
334,L47513,L,297.5,308.2,1647.0,31.3,3,0,0,0,0,0,0
335,M15194,M,297.5,308.1,1469.0,44.8,5,0,0,0,0,0,0
336,L47515,L,297.4,308.1,1749.0,25.9,8,0,0,0,0,0,0
337,M15196,M,297.6,308.2,1995.0,20.5,10,0,0,0,0,0,0
338,L47517,L,297.6,308.3,1742.0,27.7,13,0,0,0,0,0,0
339,L47518,L,297.5,308.2,1563.0,38.2,15,0,0,0,0,0,0
340,M15199,M,297.5,308.2,1713.0,32.2,17,0,0,0,0,0,0
341,L47520,L,297.4,308.1,1474.0,39.4,20,0,0,0,0,0,0
342,M15201,M,297.4,308.2,1530.0,32.6,22,0,0,0,0,0,0
343,L47522,L,297.4,308.2,1471.0,46.5,25,0,0,0,0,0,0
344,L47523,L,297.5,308.3,1388.0,48.6,27,0,0,0,0,0,0
345,M15204,M,297.5,308.2,2448.0,13.8,29,0,0,0,0,0,0
346,L47525,L,297.5,308.3,1585.0,32.9,32,0,0,0,0,0,0
347,M15206,M,297.5,308.3,1459.0,45.2,34,0,0,0,0,0,0
348,L47527,L,297.5,308.3,1544.0,40.8,37,0,0,0,0,0,0
349,L47528,L,297.6,308.3,1617.0,31.7,39,0,0,0,0,0,0
350,L47529,L,297.6,308.3,1595.0,34.3,41,0,0,0,0,0,0
351,H29764,H,297.6,308.3,1400.0,44.3,43,0,0,0,0,0,0
352,M15211,M,297.6,308.4,1611.0,31.0,48,0,0,0,0,0,0
353,M15212,M,297.6,308.4,1507.0,46.0,51,0,0,0,0,0,0
354,H29767,H,297.5,308.3,1674.0,30.0,54,0,0,0,0,0,0
